Symbol,Name,Market Cap,Price/Earnings,Earnings/Share,Price/Sales
GOOGL,Alphabet Inc Class A,"733,824,000,000",31.48,22.27,.
GOOG,Alphabet Inc Class C,"728,536,000,000",40.29,22.27,.
MSFT,Microsoft Corp.,"689,978,000,000",25.76,2.97,.
FB,"Facebook, Inc.","523,423,000,000",27.9,5.39,..
V,Visa Inc.,"270,039,000,000",32.72,2.8,.
INTC,Intel Corp.,"211,536,000,000",12.32,1.98,.
ORCL,Oracle Corp.,"202,302,000,000",18.81,2.2,.
CSCO,Cisco Systems,"199,426,000,000",17.87,1.91,.
MA,Mastercard Inc.,"187,102,000,000",34.99,3.65,.
IBM,International Business Machines,"142,433,000,000",10.67,6.11,.